Name,Address,State,City,PinCode,Phone,Email,,,,,,,,,,,,,,
centre For Sight - Nehru Nagar,E-2/228 Ambedkar Road,Uttar Pradesh,Ghaziabad,201002,9650044492,TPADESK7@CENTREFORSIGHT.NET,,,,,,,,,,,,,,
 Aaradhya  Hospital ,"Mahanaya Chowk, Ratanpur Road, Sarkanda, Bilaspur, Cg",Chhattisgarh,Bilaspur,495001,9343230907,ARADHYAHOSPITAL2503@GMAIL.COM,,,,,,,,,,,,,,
 Adhikari Lifeline ,"Shop No 2, Royal Classic",Maharashtra,Mumbai,401404,7030119444,adhikarilifelinebategaon@gmail.com,,,,,,,,,,,,,,
 Anandam Netralaya Pvt Ltd,"16/1/3 Race course road , ",Madhya Pradesh,Indore,452001,0731/ 400 5155,ANANDAMNETRALAYAINDORE@GMAIL.COM,,,,,,,,,,,,,,
 Apollo Children Hospital,"1st & 2nd Floor, Shriraj Palace",Maharashtra,Thane,421503,7066483767,apollobadlapur@gmail.com,,,,,,,,,,,,,,
 Aspire Hospitals Private Limited,"plot no -163/208.Ganga Nagar,Unit - 6,bhubaneswar- 7510001",Odisha,Khordha,751001,9861922101,ASPIREAHPL@GMAIL.COM,,,,,,,,,,,,,,
 Bankers Heart Institute,"NR TAGOR NAGAR, OPP. SURYAKIRAN COMPLEX,",Gujarat,Vadodara,390015,2652320404,bhi.ipd@gmail.com,,,,,,,,,,,,,,
 Chaitanya Hospital               ,"IN FRONT OF NAGARE HOSPITAL, TAJNE MALA, NEW NAGAR ROAD",Maharashtra,Sangamner,422605,221632 / 224761,CHAITANYAHOSPITAL6@GMAIL.COM,,,,,,,,,,,,,,
 Chandraganga Spandan Hospital," Chandraganga SpaChandganga Apartsments, Vasudev Balvant Phadke Road, Mulund, Mumbai, Maharashtra-400081",Maharashtra,Mumbai,400081,8898210441,tpaspandanhospitalmulund@gmail.com,,,,,,,,,,,,,,
 Cisro Hospital,"Naya Tola,Bailey Road, Saguna More, Danapur",Bihar,Patna,801503,9031054070,cisrohospitaltpa@gmail.com,,,,,,,,,,,,,,
 Dr Shelke Accident And General Hospital ,"INDIRA NAGAR, LANE-01, SANGAMNER ",Maharashtra,Sangamner,422605,220895,dattushelke@gmail.com,,,,,,,,,,,,,,
 Drishti Netralaya,"In Front Of AIIMS Hospital, Near Bank Of India,Great Eastern Road",Chhattisgarh,Raipur,492099,4002111,CASHLESS.DRISHTINETRALAY2018@GMAIL.COM,,,,,,,,,,,,,,
 Foresight Eye Clinic,"106, Rps Flats",Delhi,New Delhi,110017,26018111,FORESIGHTCARE@GMAIL.COM,,,,,,,,,,,,,,
 Gk Multi Speciality Hospitals,"Panama X Road  ,Vanasthalipuram",Telangana,Hyderabad,500070,9505666104,GKHOSPITALS2021@GMAIL.COM,,,,,,,,,,,,,,
 Jinali Eye Hospital,"1st Floor, Mayur Prabha",Madhya Pradesh,Khandwa,450001,9424026108 / 9111726108,jinalieyehospital@gmail.com,,,,,,,,,,,,,,
 Mahajan Neuro Centre & General Hospital Pvt. Ltd,"Stadium Road, In Front Of Telephone Tower, Bareilly – 243122",Uttar Pradesh,Bareilly,243122,9870941536,MAHAJANHOSPITAL1234@GMAIL.COM,,,,,,,,,,,,,,
 New Delhi Centre For Sight Ltd,"G-67, Indira Nagar",Rajasthan,Nawalgarh,333001,9560333490,TPADESK7@CENTREFORSIGHT.NET,,,,,,,,,,,,,,
 Neyyar Medicity,"Killi,",Kerala,Thiruvananthapuram,695572,471-2525777,insurance@neyyarmedicity.com,,,,,,,,,,,,,,
 Om Orthopadic Hospital,"2nd  Floor Shivshakti Complex,",Gujarat,Kadi,382715,9510626376,shashi.bjmc@gmail.com,,,,,,,,,,,,,,
" Om Surgical Centere & Maternity Home,","SRI KRISHNA NAGAR COLONY, Varanasi, Uttar Pradesh-",Uttar Pradesh,Varanasi,221007,9305861010,OMSURGICALCORP@GMAIL.COM,,,,,,,,,,,,,,
 Phoenix Ortho And Speciality Clinic,"Shop no 3, New Geetanjali  opp. Pramila hospital, Sudama Nagar, Budhaji Nagar, Thane, Maharashtra-",Maharashtra,Thane,400605,9324237388,phoenixhospitalkhopat@gmail.com,,,,,,,,,,,,,,
 Saifee Hospital,"P.O. Box No. 3771, 15/17 Maharishi Karve Marg",Maharashtra,Mumbai,400004,9004045985,SAIFEETPA@GMAIL.COM,,,,,,,,,,,,,,
 Sukh Sagar Medical College And Hospital ,"Mukanwara, ",Madhya Pradesh,Jabalpur,482003,4470000,,,,,,,,,,,,,,,
,SAHU12SANDHYA@GMAIL.COM,,,,,,,,,,,,,,,,,,,
 THE EYE FOUNDATION-TRICHY,"27,WILLIAMS ROAD , NEAR TO SONA MINA THEATERS CANTONMENT , TRICHY",Tamil Nadu,Trichy,620001,9360963339,TPATRICHY@THEEYEFOUNDATION.COM,,,,,,,,,,,,,,
 Tomar Multispeciality Hospital,PLOT NO 35 PARTAP VIHAR-I KIRARI,Delhi,New Delhi,110019,9910990068,tomarmultispecialityhospital@gmail.com,,,,,,,,,,,,,,
